date,value
"2020-04-11",-2
"2020-04-10",-5
"2020-04-09",-8
"2020-04-08",-11
"2020-04-07",-4
"2020-04-06",-5
"2020-04-05",-11
"2020-04-04",-5
"2020-04-03",-1
"2020-04-02",-4
"2020-04-01",-3
"2020-03-31",-6
"2020-03-30",-8
"2020-03-29",-11
"2020-03-28",-4
"2020-03-27",-6
"2020-03-26",-6
"2020-03-25",-5
"2020-03-24",-8
"2020-03-23",-7
"2020-03-22",-9
"2020-03-21",2
"2020-03-20",9
"2020-03-19",10
"2020-03-18",11
"2020-03-17",16
"2020-03-16",22
"2020-03-15",23
"2020-03-14",19
"2020-03-13",21
"2020-03-12",18
"2020-03-11",10
"2020-03-10",8
"2020-03-09",8
"2020-03-08",8
"2020-03-07",7
"2020-03-06",6
"2020-03-05",2
"2020-03-04",0
"2020-03-03",5
"2020-03-02",7
"2020-03-01",7
"2020-02-29",8
"2020-02-28",7
"2020-02-27",5
"2020-02-26",4
"2020-02-25",2
"2020-02-24",0
"2020-02-23",-2
"2020-02-22",1
"2020-02-21",0
"2020-02-20",-2
"2020-02-19",-4
"2020-02-18",0
"2020-02-17",-1
"2020-02-16",2
