date,value
"2020-04-11",-24
"2020-04-10",-26
"2020-04-09",-22
"2020-04-08",-26
"2020-04-07",-22
"2020-04-06",-13
"2020-04-05",-24
"2020-04-04",-22
"2020-04-03",-18
"2020-04-02",-20
"2020-04-01",-25
"2020-03-31",-30
"2020-03-30",-5
"2020-03-29",-4
"2020-03-28",12
"2020-03-27",6
"2020-03-26",-4
"2020-03-25",-2
"2020-03-24",-25
"2020-03-23",-22
"2020-03-22",-22
"2020-03-21",28
"2020-03-20",32
"2020-03-19",32
"2020-03-18",15
"2020-03-17",7
"2020-03-16",11
"2020-03-15",14
"2020-03-14",47
"2020-03-13",50
"2020-03-12",42
"2020-03-11",43
"2020-03-10",37
"2020-03-09",44
"2020-03-08",46
"2020-03-07",46
"2020-03-06",38
"2020-03-05",1
"2020-03-04",-19
"2020-03-03",-5
"2020-03-02",10
"2020-03-01",21
"2020-02-29",29
"2020-02-28",31
"2020-02-27",10
"2020-02-26",4
"2020-02-25",-6
"2020-02-24",-3
"2020-02-23",-3
"2020-02-22",19
"2020-02-21",23
"2020-02-20",-10
"2020-02-19",-27
"2020-02-18",-13
"2020-02-17",-9
"2020-02-16",36
