date,value
"2020-04-11",-34
"2020-04-10",-52
"2020-04-09",-45
"2020-04-08",-45
"2020-04-07",-43
"2020-04-06",-41
"2020-04-05",-38
"2020-04-04",-32
"2020-04-03",-41
"2020-04-02",-41
"2020-04-01",-40
"2020-03-31",-39
"2020-03-30",-37
"2020-03-29",-34
"2020-03-28",-25
"2020-03-27",-35
"2020-03-26",-35
"2020-03-25",-34
"2020-03-24",-33
"2020-03-23",-30
"2020-03-22",-28
"2020-03-21",-19
"2020-03-20",-24
"2020-03-19",-24
"2020-03-18",-22
"2020-03-17",-17
"2020-03-16",-12
"2020-03-15",-5
"2020-03-14",0
"2020-03-13",-1
"2020-03-12",-1
"2020-03-11",0
"2020-03-10",1
"2020-03-09",2
"2020-03-08",2
"2020-03-07",3
"2020-03-06",3
"2020-03-05",1
"2020-03-04",0
"2020-03-03",1
"2020-03-02",3
"2020-03-01",4
"2020-02-29",3
"2020-02-28",3
"2020-02-27",1
"2020-02-26",2
"2020-02-25",2
"2020-02-24",2
"2020-02-23",3
"2020-02-22",3
"2020-02-21",3
"2020-02-20",-2
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",0
"2020-02-16",-14
