date,value
"2020-04-11",15
"2020-04-10",19
"2020-04-09",18
"2020-04-08",17
"2020-04-07",14
"2020-04-06",14
"2020-04-05",9
"2020-04-04",14
"2020-04-03",21
"2020-04-02",21
"2020-04-01",15
"2020-03-31",15
"2020-03-30",13
"2020-03-29",8
"2020-03-28",15
"2020-03-27",18
"2020-03-26",16
"2020-03-25",16
"2020-03-24",13
"2020-03-23",11
"2020-03-22",8
"2020-03-21",10
"2020-03-20",14
"2020-03-19",14
"2020-03-18",10
"2020-03-17",8
"2020-03-16",8
"2020-03-15",5
"2020-03-14",6
"2020-03-13",4
"2020-03-12",2
"2020-03-11",0
"2020-03-10",-1
"2020-03-09",0
"2020-03-08",-1
"2020-03-07",-2
"2020-03-06",-2
"2020-03-05",-1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-2
"2020-02-28",-2
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",0
"2020-02-24",4
"2020-02-23",0
"2020-02-22",-2
"2020-02-21",-1
"2020-02-20",-1
"2020-02-19",0
"2020-02-18",1
"2020-02-17",1
"2020-02-16",6
