date,value
"2020-04-11",-42
"2020-04-10",-26
"2020-04-09",-24
"2020-04-08",-23
"2020-04-07",-18
"2020-04-06",-22
"2020-04-05",-36
"2020-04-04",-31
"2020-04-03",-32
"2020-04-02",-34
"2020-04-01",-21
"2020-03-31",-17
"2020-03-30",-21
"2020-03-29",-31
"2020-03-28",-31
"2020-03-27",-24
"2020-03-26",-20
"2020-03-25",-23
"2020-03-24",-13
"2020-03-23",-17
"2020-03-22",-22
"2020-03-21",-19
"2020-03-20",-16
"2020-03-19",-20
"2020-03-18",-5
"2020-03-17",0
"2020-03-16",-3
"2020-03-15",-4
"2020-03-14",-12
"2020-03-13",-4
"2020-03-12",6
"2020-03-11",9
"2020-03-10",10
"2020-03-09",8
"2020-03-08",8
"2020-03-07",12
"2020-03-06",14
"2020-03-05",11
"2020-03-04",10
"2020-03-03",10
"2020-03-02",8
"2020-03-01",9
"2020-02-29",11
"2020-02-28",10
"2020-02-27",9
"2020-02-26",7
"2020-02-25",3
"2020-02-24",-4
"2020-02-23",0
"2020-02-22",5
"2020-02-21",3
"2020-02-20",5
"2020-02-19",6
"2020-02-18",1
"2020-02-17",1
"2020-02-16",4
