date,value
"2020-04-11",2
"2020-04-10",-5
"2020-04-09",-4
"2020-04-08",-5
"2020-04-07",-7
"2020-04-06",-9
"2020-04-05",-9
"2020-04-04",-6
"2020-04-03",-2
"2020-04-02",0
"2020-04-01",-1
"2020-03-31",-10
"2020-03-30",-10
"2020-03-29",-9
"2020-03-28",-7
"2020-03-27",-9
"2020-03-26",-7
"2020-03-25",-6
"2020-03-24",-9
"2020-03-23",-3
"2020-03-22",0
"2020-03-21",7
"2020-03-20",9
"2020-03-19",13
"2020-03-18",14
"2020-03-17",16
"2020-03-16",19
"2020-03-15",15
"2020-03-14",17
"2020-03-13",22
"2020-03-12",24
"2020-03-11",16
"2020-03-10",10
"2020-03-09",7
"2020-03-08",9
"2020-03-07",10
"2020-03-06",7
"2020-03-05",7
"2020-03-04",10
"2020-03-03",11
"2020-03-02",9
"2020-03-01",6
"2020-02-29",11
"2020-02-28",7
"2020-02-27",4
"2020-02-26",5
"2020-02-25",4
"2020-02-24",1
"2020-02-23",-3
"2020-02-22",1
"2020-02-21",3
"2020-02-20",-2
"2020-02-19",-3
"2020-02-18",3
"2020-02-17",-3
"2020-02-16",-2
