date,value
"2020-04-11",16
"2020-04-10",24
"2020-04-09",21
"2020-04-08",21
"2020-04-07",21
"2020-04-06",20
"2020-04-05",14
"2020-04-04",18
"2020-04-03",23
"2020-04-02",21
"2020-04-01",20
"2020-03-31",20
"2020-03-30",20
"2020-03-29",13
"2020-03-28",15
"2020-03-27",21
"2020-03-26",20
"2020-03-25",20
"2020-03-24",17
"2020-03-23",16
"2020-03-22",12
"2020-03-21",12
"2020-03-20",16
"2020-03-19",14
"2020-03-18",12
"2020-03-17",11
"2020-03-16",8
"2020-03-15",4
"2020-03-14",3
"2020-03-13",3
"2020-03-12",2
"2020-03-11",1
"2020-03-10",1
"2020-03-09",1
"2020-03-08",0
"2020-03-07",-2
"2020-03-06",-2
"2020-03-05",-2
"2020-03-04",-1
"2020-03-03",0
"2020-03-02",-1
"2020-03-01",-1
"2020-02-29",-2
"2020-02-28",-3
"2020-02-27",-2
"2020-02-26",-2
"2020-02-25",-1
"2020-02-24",-1
"2020-02-23",0
"2020-02-22",0
"2020-02-21",-1
"2020-02-20",-1
"2020-02-19",1
"2020-02-18",1
"2020-02-17",0
"2020-02-16",4
