date,value
"2020-04-11",-42
"2020-04-10",-37
"2020-04-09",-34
"2020-04-08",-33
"2020-04-07",-35
"2020-04-06",-36
"2020-04-05",-42
"2020-04-04",-49
"2020-04-03",-38
"2020-04-02",-37
"2020-04-01",-34
"2020-03-31",-34
"2020-03-30",-35
"2020-03-29",-41
"2020-03-28",-46
"2020-03-27",-38
"2020-03-26",-36
"2020-03-25",-34
"2020-03-24",-33
"2020-03-23",-31
"2020-03-22",-33
"2020-03-21",-39
"2020-03-20",-35
"2020-03-19",-31
"2020-03-18",-27
"2020-03-17",-20
"2020-03-16",-10
"2020-03-15",-7
"2020-03-14",-11
"2020-03-13",-6
"2020-03-12",6
"2020-03-11",9
"2020-03-10",8
"2020-03-09",8
"2020-03-08",10
"2020-03-07",8
"2020-03-06",6
"2020-03-05",8
"2020-03-04",9
"2020-03-03",9
"2020-03-02",10
"2020-03-01",7
"2020-02-29",3
"2020-02-28",6
"2020-02-27",8
"2020-02-26",10
"2020-02-25",9
"2020-02-24",6
"2020-02-23",6
"2020-02-22",10
"2020-02-21",3
"2020-02-20",4
"2020-02-19",4
"2020-02-18",3
"2020-02-17",2
"2020-02-16",17
