date,value
"2020-03-29",11
"2020-03-28",12
"2020-03-27",19
"2020-03-26",19
"2020-03-25",21
"2020-03-24",18
"2020-03-23",18
"2020-03-22",11
"2020-03-21",11
"2020-03-20",15
"2020-03-19",14
"2020-03-18",14
"2020-03-17",11
"2020-03-16",9
"2020-03-15",6
"2020-03-14",3
"2020-03-13",3
"2020-03-12",1
"2020-03-11",0
"2020-03-10",0
"2020-03-09",0
"2020-03-08",-1
"2020-03-07",-1
"2020-03-06",0
"2020-03-05",0
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",0
"2020-03-01",-1
"2020-02-29",-1
"2020-02-28",-1
"2020-02-27",-1
"2020-02-26",-1
"2020-02-25",-1
"2020-02-24",0
"2020-02-23",0
"2020-02-22",-1
"2020-02-21",0
"2020-02-20",3
"2020-02-19",1
"2020-02-18",0
"2020-02-17",0
"2020-02-16",6
