date,value
"2020-04-11",-4
"2020-04-10",-49
"2020-04-09",-42
"2020-04-08",-4
"2020-04-07",47
"2020-04-06",45
"2020-04-05",-1
"2020-04-04",23
"2020-04-03",-35
"2020-04-02",-36
"2020-04-01",7
"2020-03-31",33
"2020-03-30",-22
"2020-03-29",-55
"2020-03-28",20
"2020-03-27",3
"2020-03-26",5
"2020-03-25",-11
"2020-03-24",-12
"2020-03-23",-26
"2020-03-22",10
"2020-03-21",10
"2020-03-20",-9
"2020-03-19",-2
"2020-03-18",16
"2020-03-17",-3
"2020-03-16",7
"2020-03-15",12
"2020-03-14",18
"2020-03-13",-2
"2020-03-12",-2
"2020-03-11",0
"2020-03-10",-1
"2020-03-09",29
"2020-03-08",50
"2020-03-07",38
"2020-03-06",19
"2020-03-05",11
"2020-03-04",6
"2020-03-03",10
"2020-03-02",18
"2020-03-01",5
"2020-02-29",16
"2020-02-28",9
"2020-02-27",-10
"2020-02-26",-17
"2020-02-25",-3
"2020-02-24",8
"2020-02-23",25
"2020-02-22",48
"2020-02-21",46
"2020-02-20",6
"2020-02-19",3
"2020-02-18",7
"2020-02-17",-1
"2020-02-16",42
