date,value
"2020-04-11",-2
"2020-04-10",-11
"2020-04-09",-14
"2020-04-08",-18
"2020-04-07",-15
"2020-04-06",-18
"2020-04-05",-18
"2020-04-04",-14
"2020-04-03",-17
"2020-04-02",-16
"2020-04-01",-15
"2020-03-31",-20
"2020-03-30",-21
"2020-03-29",-30
"2020-03-28",-26
"2020-03-27",-23
"2020-03-26",-24
"2020-03-25",-25
"2020-03-24",-17
"2020-03-23",-5
"2020-03-22",-18
"2020-03-21",-7
"2020-03-20",2
"2020-03-19",-2
"2020-03-18",2
"2020-03-17",11
"2020-03-16",18
"2020-03-15",15
"2020-03-14",19
"2020-03-13",24
"2020-03-12",21
"2020-03-11",12
"2020-03-10",6
"2020-03-09",3
"2020-03-08",7
"2020-03-07",12
"2020-03-06",7
"2020-03-05",2
"2020-03-04",3
"2020-03-03",5
"2020-03-02",5
"2020-03-01",7
"2020-02-29",11
"2020-02-28",6
"2020-02-27",0
"2020-02-26",1
"2020-02-25",0
"2020-02-24",1
"2020-02-23",6
"2020-02-22",10
"2020-02-21",7
"2020-02-20",0
"2020-02-19",-1
"2020-02-18",0
"2020-02-17",0
"2020-02-16",-2
