date,value
"2020-04-11",-33
"2020-04-10",-52
"2020-04-09",-47
"2020-04-08",-46
"2020-04-07",-46
"2020-04-06",-45
"2020-04-05",-33
"2020-04-04",-31
"2020-04-03",-44
"2020-04-02",-45
"2020-04-01",-45
"2020-03-31",-45
"2020-03-30",-44
"2020-03-29",-34
"2020-03-28",-31
"2020-03-27",-43
"2020-03-26",-44
"2020-03-25",-44
"2020-03-24",-41
"2020-03-23",-37
"2020-03-22",-29
"2020-03-21",-22
"2020-03-20",-30
"2020-03-19",-31
"2020-03-18",-29
"2020-03-17",-23
"2020-03-16",-15
"2020-03-15",-5
"2020-03-14",1
"2020-03-13",1
"2020-03-12",1
"2020-03-11",1
"2020-03-10",1
"2020-03-09",2
"2020-03-08",3
"2020-03-07",5
"2020-03-06",5
"2020-03-05",3
"2020-03-04",2
"2020-03-03",1
"2020-03-02",1
"2020-03-01",4
"2020-02-29",5
"2020-02-28",4
"2020-02-27",2
"2020-02-26",2
"2020-02-25",2
"2020-02-24",2
"2020-02-23",3
"2020-02-22",5
"2020-02-21",5
"2020-02-20",2
"2020-02-19",2
"2020-02-18",2
"2020-02-17",-1
"2020-02-16",-5
