date,value
"2020-04-11",10
"2020-04-10",20
"2020-04-09",17
"2020-04-08",15
"2020-04-07",15
"2020-04-06",15
"2020-04-05",8
"2020-04-04",9
"2020-04-03",16
"2020-04-02",16
"2020-04-01",15
"2020-03-31",15
"2020-03-30",15
"2020-03-29",8
"2020-03-28",9
"2020-03-27",17
"2020-03-26",15
"2020-03-25",16
"2020-03-24",13
"2020-03-23",14
"2020-03-22",9
"2020-03-21",8
"2020-03-20",11
"2020-03-19",10
"2020-03-18",8
"2020-03-17",6
"2020-03-16",5
"2020-03-15",3
"2020-03-14",2
"2020-03-13",1
"2020-03-12",0
"2020-03-11",0
"2020-03-10",0
"2020-03-09",0
"2020-03-08",-1
"2020-03-07",-1
"2020-03-06",0
"2020-03-05",1
"2020-03-04",-1
"2020-03-03",-1
"2020-03-02",-1
"2020-03-01",0
"2020-02-29",-1
"2020-02-28",0
"2020-02-27",1
"2020-02-26",1
"2020-02-25",-1
"2020-02-24",0
"2020-02-23",1
"2020-02-22",-1
"2020-02-21",0
"2020-02-20",1
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",4
