date,value
"2020-04-11",-15
"2020-04-10",-10
"2020-04-09",-13
"2020-04-08",-12
"2020-04-07",-13
"2020-04-06",-15
"2020-04-05",-21
"2020-04-04",-5
"2020-04-03",-11
"2020-04-02",-20
"2020-04-01",-13
"2020-03-31",-9
"2020-03-30",-10
"2020-03-29",-14
"2020-03-28",-7
"2020-03-27",-13
"2020-03-26",-14
"2020-03-25",-12
"2020-03-24",-9
"2020-03-23",-5
"2020-03-22",-10
"2020-03-21",6
"2020-03-20",-5
"2020-03-19",-22
"2020-03-18",-8
"2020-03-17",2
"2020-03-16",3
"2020-03-15",1
"2020-03-14",5
"2020-03-13",5
"2020-03-12",7
"2020-03-11",8
"2020-03-10",7
"2020-03-09",8
"2020-03-08",6
"2020-03-07",13
"2020-03-06",18
"2020-03-05",12
"2020-03-04",9
"2020-03-03",-1
"2020-03-02",-18
"2020-03-01",-16
"2020-02-29",-3
"2020-02-28",18
"2020-02-27",15
"2020-02-26",8
"2020-02-25",3
"2020-02-24",-3
"2020-02-23",-3
"2020-02-22",2
"2020-02-21",15
"2020-02-20",15
"2020-02-19",5
"2020-02-18",-2
"2020-02-17",5
"2020-02-16",6
