date,value
"2020-04-11",-30
"2020-04-10",-41
"2020-04-09",-38
"2020-04-08",-38
"2020-04-07",-37
"2020-04-06",-36
"2020-04-05",-31
"2020-04-04",-27
"2020-04-03",-36
"2020-04-02",-41
"2020-04-01",-38
"2020-03-31",-36
"2020-03-30",-35
"2020-03-29",-29
"2020-03-28",-28
"2020-03-27",-35
"2020-03-26",-36
"2020-03-25",-35
"2020-03-24",-33
"2020-03-23",-31
"2020-03-22",-27
"2020-03-21",-22
"2020-03-20",-27
"2020-03-19",-29
"2020-03-18",-25
"2020-03-17",-20
"2020-03-16",-17
"2020-03-15",-7
"2020-03-14",-2
"2020-03-13",-3
"2020-03-12",-1
"2020-03-11",1
"2020-03-10",3
"2020-03-09",4
"2020-03-08",3
"2020-03-07",3
"2020-03-06",4
"2020-03-05",2
"2020-03-04",3
"2020-03-03",4
"2020-03-02",4
"2020-03-01",3
"2020-02-29",1
"2020-02-28",2
"2020-02-27",3
"2020-02-26",2
"2020-02-25",2
"2020-02-24",1
"2020-02-23",3
"2020-02-22",3
"2020-02-21",4
"2020-02-20",3
"2020-02-19",1
"2020-02-18",2
"2020-02-17",2
"2020-02-16",-25
