date,value
"2020-04-11",-7
"2020-04-10",-12
"2020-04-09",-13
"2020-04-08",-15
"2020-04-07",-14
"2020-04-06",-16
"2020-04-05",-20
"2020-04-04",-15
"2020-04-03",-12
"2020-04-02",-11
"2020-04-01",-11
"2020-03-31",-15
"2020-03-30",-17
"2020-03-29",-22
"2020-03-28",-19
"2020-03-27",-16
"2020-03-26",-14
"2020-03-25",-15
"2020-03-24",-12
"2020-03-23",-10
"2020-03-22",-13
"2020-03-21",-4
"2020-03-20",4
"2020-03-19",6
"2020-03-18",7
"2020-03-17",12
"2020-03-16",19
"2020-03-15",15
"2020-03-14",16
"2020-03-13",23
"2020-03-12",24
"2020-03-11",15
"2020-03-10",9
"2020-03-09",7
"2020-03-08",7
"2020-03-07",8
"2020-03-06",6
"2020-03-05",5
"2020-03-04",7
"2020-03-03",8
"2020-03-02",8
"2020-03-01",7
"2020-02-29",8
"2020-02-28",6
"2020-02-27",3
"2020-02-26",3
"2020-02-25",2
"2020-02-24",1
"2020-02-23",1
"2020-02-22",3
"2020-02-21",3
"2020-02-20",-2
"2020-02-19",0
"2020-02-18",0
"2020-02-17",0
"2020-02-16",0
