date,value
"2020-04-05",-48
"2020-04-04",-41
"2020-04-03",-41
"2020-04-02",-40
"2020-04-01",-40
"2020-03-31",-39
"2020-03-30",-41
"2020-03-29",-44
"2020-03-28",-38
"2020-03-27",-38
"2020-03-26",-40
"2020-03-25",-40
"2020-03-24",-41
"2020-03-23",-41
"2020-03-22",-44
"2020-03-21",-41
"2020-03-20",-38
"2020-03-19",-36
"2020-03-18",-30
"2020-03-17",-23
"2020-03-16",-9
"2020-03-15",1
"2020-03-14",12
"2020-03-13",19
"2020-03-12",12
"2020-03-11",5
"2020-03-10",3
"2020-03-09",2
"2020-03-08",4
"2020-03-07",4
"2020-03-06",3
"2020-03-05",2
"2020-03-04",3
"2020-03-03",5
"2020-03-02",5
"2020-03-01",7
"2020-02-29",9
"2020-02-28",7
"2020-02-27",5
"2020-02-26",1
"2020-02-25",-8
"2020-02-24",-21
"2020-02-23",-7
"2020-02-22",12
"2020-02-21",7
"2020-02-20",6
"2020-02-19",3
"2020-02-18",0
"2020-02-17",0
"2020-02-16",3
