date,value
"2020-03-29",-62
"2020-03-28",-60
"2020-03-27",-64
"2020-03-26",-64
"2020-03-25",-65
"2020-03-24",-66
"2020-03-23",-65
"2020-03-22",-64
"2020-03-21",-63
"2020-03-20",-64
"2020-03-19",-63
"2020-03-18",-61
"2020-03-17",-56
"2020-03-16",-44
"2020-03-15",-23
"2020-03-14",-7
"2020-03-13",1
"2020-03-12",4
"2020-03-11",6
"2020-03-10",1
"2020-03-09",-1
"2020-03-08",3
"2020-03-07",4
"2020-03-06",4
"2020-03-05",4
"2020-03-04",5
"2020-03-03",5
"2020-03-02",4
"2020-03-01",5
"2020-02-29",5
"2020-02-28",6
"2020-02-27",3
"2020-02-26",1
"2020-02-25",-8
"2020-02-24",-31
"2020-02-23",-19
"2020-02-22",9
"2020-02-21",9
"2020-02-20",5
"2020-02-19",7
"2020-02-18",3
"2020-02-17",1
"2020-02-16",3
