date,value
"2020-03-29",-80
"2020-03-28",-79
"2020-03-27",-80
"2020-03-26",-29
"2020-03-25",-20
"2020-03-24",-27
"2020-03-23",-32
"2020-03-22",-36
"2020-03-21",-28
"2020-03-20",-20
"2020-03-19",-20
"2020-03-18",-17
"2020-03-17",-14
"2020-03-16",-12
"2020-03-15",-13
"2020-03-14",-10
"2020-03-13",-3
"2020-03-12",-3
"2020-03-11",-3
"2020-03-10",-1
"2020-03-09",1
"2020-03-08",-2
"2020-03-07",-2
"2020-03-06",7
"2020-03-05",11
"2020-03-04",9
"2020-03-03",10
"2020-03-02",11
"2020-03-01",10
"2020-02-29",8
"2020-02-28",11
"2020-02-27",14
"2020-02-26",6
"2020-02-25",4
"2020-02-24",1
"2020-02-23",-4
"2020-02-22",-11
"2020-02-21",-6
"2020-02-20",4
"2020-02-19",1
"2020-02-18",-2
"2020-02-17",1
"2020-02-16",3
