date,value
"2020-04-05",-44
"2020-04-04",-55
"2020-04-03",-72
"2020-04-02",-73
"2020-04-01",-73
"2020-03-31",-74
"2020-03-30",-74
"2020-03-29",-49
"2020-03-28",-58
"2020-03-27",-74
"2020-03-26",-35
"2020-03-25",-25
"2020-03-24",-22
"2020-03-23",-21
"2020-03-22",-13
"2020-03-21",-17
"2020-03-20",-16
"2020-03-19",-14
"2020-03-18",-10
"2020-03-17",-4
"2020-03-16",0
"2020-03-15",2
"2020-03-14",3
"2020-03-13",3
"2020-03-12",3
"2020-03-11",3
"2020-03-10",5
"2020-03-09",6
"2020-03-08",5
"2020-03-07",5
"2020-03-06",7
"2020-03-05",8
"2020-03-04",8
"2020-03-03",8
"2020-03-02",8
"2020-03-01",7
"2020-02-29",7
"2020-02-28",5
"2020-02-27",4
"2020-02-26",5
"2020-02-25",5
"2020-02-24",5
"2020-02-23",4
"2020-02-22",0
"2020-02-21",2
"2020-02-20",3
"2020-02-19",3
"2020-02-18",3
"2020-02-17",4
"2020-02-16",4
