date,value
"2020-04-11",-16
"2020-04-10",-17
"2020-04-09",-5
"2020-04-08",-9
"2020-04-07",-9
"2020-04-06",-9
"2020-04-05",-12
"2020-04-04",-8
"2020-04-03",-5
"2020-04-02",0
"2020-04-01",2
"2020-03-31",1
"2020-03-30",-2
"2020-03-29",-8
"2020-03-28",-1
"2020-03-27",-5
"2020-03-26",2
"2020-03-25",1
"2020-03-24",-2
"2020-03-23",-6
"2020-03-22",-8
"2020-03-21",-7
"2020-03-20",-4
"2020-03-19",-1
"2020-03-18",-2
"2020-03-17",-4
"2020-03-16",-6
"2020-03-15",-6
"2020-03-14",-6
"2020-03-13",-5
"2020-03-12",-4
"2020-03-11",-2
"2020-03-10",-1
"2020-03-09",-3
"2020-03-08",0
"2020-03-07",5
"2020-03-06",5
"2020-03-05",4
"2020-03-04",5
"2020-03-03",4
"2020-03-02",5
"2020-03-01",7
"2020-02-29",8
"2020-02-28",6
"2020-02-27",-2
"2020-02-26",-3
"2020-02-25",-6
"2020-02-24",-9
"2020-02-23",-12
"2020-02-22",-9
"2020-02-21",-8
"2020-02-20",-12
"2020-02-19",-14
"2020-02-18",-11
"2020-02-17",-7
"2020-02-16",-10
