date,value
"2020-04-11",-28
"2020-04-10",-27
"2020-04-09",-19
"2020-04-08",-21
"2020-04-07",-21
"2020-04-06",-22
"2020-04-05",-28
"2020-04-04",-23
"2020-04-03",-20
"2020-04-02",-15
"2020-04-01",-14
"2020-03-31",-14
"2020-03-30",-17
"2020-03-29",-24
"2020-03-28",-17
"2020-03-27",-17
"2020-03-26",-10
"2020-03-25",-10
"2020-03-24",-9
"2020-03-23",-12
"2020-03-22",-15
"2020-03-21",-11
"2020-03-20",-5
"2020-03-19",-5
"2020-03-18",-7
"2020-03-17",-9
"2020-03-16",-10
"2020-03-15",-10
"2020-03-14",-8
"2020-03-13",-7
"2020-03-12",-6
"2020-03-11",-2
"2020-03-10",1
"2020-03-09",-2
"2020-03-08",-1
"2020-03-07",4
"2020-03-06",4
"2020-03-05",4
"2020-03-04",3
"2020-03-03",2
"2020-03-02",2
"2020-03-01",0
"2020-02-29",1
"2020-02-28",0
"2020-02-27",-4
"2020-02-26",-3
"2020-02-25",-6
"2020-02-24",-8
"2020-02-23",-11
"2020-02-22",-11
"2020-02-21",-9
"2020-02-20",-10
"2020-02-19",-8
"2020-02-18",-7
"2020-02-17",-4
"2020-02-16",-8
