date,value
"2020-03-29",14
"2020-03-28",-2
"2020-03-27",-29
"2020-03-26",-27
"2020-03-25",-20
"2020-03-24",-11
"2020-03-23",3
"2020-03-22",6
"2020-03-21",6
"2020-03-20",10
"2020-03-19",9
"2020-03-18",9
"2020-03-17",9
"2020-03-16",11
"2020-03-15",9
"2020-03-14",8
"2020-03-13",8
"2020-03-12",9
"2020-03-11",10
"2020-03-10",10
"2020-03-09",11
"2020-03-08",11
"2020-03-07",7
"2020-03-06",6
"2020-03-05",7
"2020-03-04",8
"2020-03-03",9
"2020-03-02",10
"2020-03-01",9
"2020-02-29",6
"2020-02-28",6
"2020-02-27",7
"2020-02-26",6
"2020-02-25",6
"2020-02-24",5
"2020-02-23",1
"2020-02-22",-1
"2020-02-21",-11
"2020-02-20",-50
"2020-02-19",2
"2020-02-18",5
"2020-02-17",7
"2020-02-16",7
